ID,FORMULAS_WITHOUT_COFACTORS,FORMULAS_ENCODED
rxn07628,"nadph + ThiobenzamideS-oxide <=> nadp + ThiobenzamideS,S-dioxide",C4 + C6549 <=> C5 + C6551
rxn07630,4-Oxalomesaconate <=> omaenol,C2272 <=> C2282
rxn07631,delta-Carotene <=> epsilon-Carotene,C3837 <=> C6542
rxn07644,Benzylcyanide <=> pad,C6421 <=> C1424
rxn07646,"beta-Zeacarotene <=> 7,8-Dihydro-beta-carotene",C2704 <=> C6556
rxn07653,"13(S)-HPOT <=> 12,13(S)-EOT",C2444 <=> C2388
rxn07654,Linolenate <=> 9(S)-HPOT,C3284 <=> C6584
rxn07655,"9(S)-HPOT <=> 9,10-EOT",C6584 <=> C6587
rxn07657,9(S)-HPOT <=> Colnelenicacid,C6584 <=> C6583
rxn07659,Linolenate <=> 13(S)-HPOT,C3284 <=> C2444
rxn07662,12-Oxo-9(Z)-dodecenoicacid <=> Traumatin,C6575 <=> C6573
rxn07663,caffcoa + Pelargonidin3-glucoside <=> coa + Pelargonidin3-O-(6-caffeoyl-beta-D-glucoside),C256 + C4596 <=> C9 + C6562
rxn07664,udpg + Pelargonidin3-glucoside <=> Pelargonin,C25 + C4596 <=> C3869
rxn07665,udpg + Pelargonidin3-O-(6-caffeoyl-beta-D-glucoside) <=> Bisdemalonylsalvianin,C25 + C6562 <=> C4779
rxn07666,caffcoa + Pelargonin <=> coa + Bisdemalonylsalvianin,C256 + C3869 <=> C9 + C4779
rxn07667,udpg + Pelargonidin3-glucoside <=> Pelargonidin3-O-sophoroside,C25 + C4596 <=> C6570
rxn07668,udpg + Cyanidin3-O-glucoside <=> Cyanidin3-O-sophoroside,C25 + C3845 <=> C6571
rxn07669,udpg + Mirtillin <=> Delphinidin3-O-sophoroside,C25 + C4597 <=> C6572
rxn07670,coucoa + Pelargonin <=> coa + Pelargonidin3-O-beta-D-glucoside5-O-(6-coumaroyl-beta-D-glucoside),C184 + C3869 <=> C9 + C6606
rxn07671,2-Naphthoyl-CoA <=> coa + 2-Naphthoicacid,C4899 <=> C9 + C4880
rxn07673,coucoa + Delphin <=> coa + Delphinidin3-O-beta-D-glucoside5-O-(6-coumaroyl-beta-D-glucoside),C184 + C6576 <=> C9 + C6607
rxn07674,"malcoa + Pelargonidin3-O-(6-O-malonyl-beta-D-glucoside) <=> coa + Pelargonidin3-O-3'',6''-O-dimalonylglucoside",C67 + C4781 <=> C9 + C6553
rxn07675,"malcoa + Cyanidin-3-(6'-malonylglucoside) <=> coa + Cyanidin3-O-3'',6''-O-dimalonylglucoside",C67 + C4782 <=> C9 + C6554
rxn07676,"malcoa + Delphinidin3-O-(6-O-malonyl-beta-D-glucoside) <=> coa + Delphinidin3-O-3'',6''-O-dimalonylglucoside",C67 + C6566 <=> C9 + C6555
rxn07678,fad + OPC8-CoA <=> fadh2 + trans-2-Enoyl-OPC8-CoA,C14 + C6590 <=> C907 + C6591
rxn07679,3-Hydroxy-OPC8-CoA <=> trans-2-Enoyl-OPC8-CoA,C6592 <=> C6591
rxn07680,nad + 3-Hydroxy-OPC8-CoA <=> nadh + 3-Oxo-OPC8-CoA,C2 + C6592 <=> C3 + C6593
rxn07681,accoa + OPC6-CoA <=> coa + 3-Oxo-OPC8-CoA,C21 + C6594 <=> C9 + C6593
rxn07682,fad + OPC6-CoA <=> fadh2 + trans-2-Enoyl-OPC6-CoA,C14 + C6594 <=> C907 + C6595
rxn07683,3-Hydroxy-OPC6-CoA <=> trans-2-Enoyl-OPC6-CoA,C6596 <=> C6595
rxn07684,nad + 3-Hydroxy-OPC6-CoA <=> nadh + 3-Oxo-OPC6-CoA,C2 + C6596 <=> C3 + C6597
rxn07685,accoa + OPC4-CoA <=> coa + 3-Oxo-OPC6-CoA,C21 + C6598 <=> C9 + C6597
rxn07686,fad + OPC4-CoA <=> fadh2 + trans-2-Enoyl-OPC4-CoA,C14 + C6598 <=> C907 + C6599
rxn07687,3-Hydroxy-OPC4-CoA <=> trans-2-Enoyl-OPC4-CoA,C6600 <=> C6599
rxn07688,nad + 3-Hydroxy-OPC4-CoA <=> nadh + 3-Oxo-OPC4-CoA,C2 + C6600 <=> C3 + C6601
rxn07689,accoa + (+)-7-IsojasmonicacidCoA <=> coa + 3-Oxo-OPC4-CoA,C21 + C6602 <=> C9 + C6601
rxn07691,Peonidin-3-(p-coumaroyl)-rutinoside-5-glucoside <=> Cyanidin-3-(p-coumaroyl)-rutinoside-5-glucoside,C6558 <=> C6557
rxn07692,(+)-7-IsojasmonicacidCoA <=> coa + (+)-7-Isojasmonicacid,C6602 <=> C9 + C6581
rxn07693,UDP-L-rhamnose + Mirtillin <=> Tulipanin,C1294 + C4597 <=> C6579
rxn07695,Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside <=> Delphinidin-3-(p-coumaroyl)-rutinoside-5-glucoside,C6560 <=> C6559
rxn07696,Malvidin-3-(p-coumaroyl)-rutinoside-5-glucoside <=> Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside,C6561 <=> C6560
rxn07697,Malvidin-3-(p-coumaroyl)-rutinoside-5-glucoside <=> Delphinidin-3-(p-coumaroyl)-rutinoside-5-glucoside,C6561 <=> C6559
rxn07698,IdB1027 <=> Cyanidin5-O-glucoside,C2968 <=> C6563
rxn07699,Cyanidin5-O-glucoside <=> Cyanin,C6563 <=> C3862
rxn07700,malcoa + Shisonin <=> coa + Malonylshisonin,C67 + C4578 <=> C9 + C6564
rxn07701,udpg + Mirtillin <=> Delphin,C25 + C4597 <=> C6576
rxn07702,"udpg + Delphin <=> Delphinidin3,5,3'-triglucoside",C25 + C6576 <=> C6578
rxn07703,udpg + Delphinidin3-O-(6-O-malonyl-beta-D-glucoside) <=> Delphinidin3-O-(6''-O-malonyl)-beta-glucoside-3'-O-beta-glucoside,C25 + C6566 <=> C6569
rxn07704,udpg + Delphinidin3-O-(6''-O-malonyl)-beta-glucoside-3'-O-beta-glucoside <=> TernatinC5,C25 + C6569 <=> C6568
rxn07706,ggdp <=> Phytoene,C273 <=> C2691
rxn07707,amet + xtsn <=> ahcys + 7-Methylxanthosine,C16 + C1090 <=> C18 + C6608
rxn07708,7-Methylxanthosine <=> rib-D + 7-Methylxanthine,C6608 <=> C102 + C6609
rxn07709,amet + 7-Methylxanthine <=> ahcys + Theobromine,C16 + C6609 <=> C18 + C3650
rxn07710,amet + Theobromine <=> ahcys + Caffeine,C16 + C3650 <=> C18 + C3651
rxn07711,amet + Paraxanthine <=> ahcys + Caffeine,C16 + C4841 <=> C18 + C3651
rxn07713,udpg + Delphinidin3-glucoside5-caffoyl-glucoside <=> Albireodelphin,C25 + C6577 <=> C6610
rxn07714,Albireodelphin <=> Gentiodelphin,C6610 <=> C3863
rxn07716,caffcoa + Mirtillin <=> coa + Delphinidin3-O-(6-caffeoyl-beta-D-glucoside),C256 + C4597 <=> C9 + C6623
rxn07717,coucoa + Pelargonidin3-glucoside <=> coa + Pelargonidin3-(6-p-coumaroyl)glucoside,C184 + C4596 <=> C9 + C6624
rxn07718,caffcoa + Cyanidin3-O-glucoside <=> coa + Cyanidin3-(6-p-caffeoyl)glucoside,C256 + C3845 <=> C9 + C6625
rxn07719,coucoa + Mirtillin <=> coa + Delphinidin3-(6-p-coumaroyl)glucoside,C184 + C4597 <=> C9 + C6626
rxn07720,caffcoa + Pelargonin <=> coa + Pelargonidin3-glucoside5-caffeoylglucoside,C256 + C3869 <=> C9 + C6627
rxn07721,caffcoa + Cyanin <=> coa + Cyanidin3-glucoside5-caffeoylglucoside,C256 + C3862 <=> C9 + C6628
rxn07722,udpglcur + Cyanidin-3-(6'-malonylglucoside) <=> Cyanidin-3-O-(6''-O-malonyl-2''-O-glucuronyl)glucoside,C139 + C4782 <=> C6629
rxn07727,"accoa + (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA <=> coa + (6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosahexa-6,9,12,15,18,21-enoyl-CoA",C21 + C6451 <=> C9 + C6632
rxn07728,malcoa + Mirtillin <=> coa + Delphinidin3-O-(6-O-malonyl-beta-D-glucoside),C67 + C4597 <=> C9 + C6566
rxn07729,nadph + Caffeine <=> nadp + fald + Paraxanthine,C4 + C3651 <=> C5 + C52 + C4841
rxn07730,Paraxanthine <=> AFMU,C4841 <=> C6621
rxn07732,1-Methylxanthine <=> 1-Methyluricacid,C6614 <=> C6615
rxn07733,Paraxanthine <=> 1-Methylxanthine,C4841 <=> C6614
rxn07734,caffcoa + Delphin <=> coa + Delphinidin3-glucoside5-caffoyl-glucoside,C256 + C6576 <=> C9 + C6577
rxn07735,"Paraxanthine <=> 1,7-Dimethyluricacid",C4841 <=> C6612
rxn07740,"fad + (6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-CoA <=> fadh2 + (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexa-2,6,9,12,15,18-enoyl-CoA",C14 + C6454 <=> C907 + C6633
rxn07741,"(6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosapenta-6,9,12,15,18-enoyl-CoA <=> (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexa-2,6,9,12,15,18-enoyl-CoA",C6634 <=> C6633
rxn07742,"nad + (6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosapenta-6,9,12,15,18-enoyl-CoA <=> nadh + (6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapenta-6,9,12,15,18-enoyl-CoA",C2 + C6634 <=> C3 + C6635
rxn07743,"accoa + (4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA <=> coa + (6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapenta-6,9,12,15,18-enoyl-CoA",C21 + C6455 <=> C9 + C6635
rxn07744,nadh + Caffeine <=> nad + fald + Paraxanthine,C3 + C3651 <=> C2 + C52 + C4841
rxn07745,nadh + Caffeine <=> nad + fald + Theobromine,C3 + C3651 <=> C2 + C52 + C3650
rxn07746,nadph + Caffeine <=> nadp + fald + Theobromine,C4 + C3651 <=> C5 + C52 + C3650
rxn07747,nadh + Paraxanthine <=> nad + fald + 7-Methylxanthine,C3 + C4841 <=> C2 + C52 + C6609
rxn07748,nadph + Paraxanthine <=> nadp + fald + 7-Methylxanthine,C4 + C4841 <=> C5 + C52 + C6609
rxn07749,nadh + Paraxanthine <=> nad + fald + 1-Methylxanthine,C3 + C4841 <=> C2 + C52 + C6614
rxn07750,nadph + Paraxanthine <=> nadp + fald + 1-Methylxanthine,C4 + C4841 <=> C5 + C52 + C6614
rxn07751,nadh + Theobromine <=> nad + fald + 7-Methylxanthine,C3 + C3650 <=> C2 + C52 + C6609
rxn07752,nadph + Theobromine <=> nadp + fald + 7-Methylxanthine,C4 + C3650 <=> C5 + C52 + C6609
rxn07753,nadh + Theobromine <=> nad + fald + 3-Methylxanthine,C3 + C3650 <=> C2 + C52 + C6613
rxn07754,nadph + Theobromine <=> nadp + fald + 3-Methylxanthine,C4 + C3650 <=> C5 + C52 + C6613
rxn07755,nadh + 7-Methylxanthine <=> nad + fald + xan,C3 + C6609 <=> C2 + C52 + C292
rxn07756,nadph + 7-Methylxanthine <=> nadp + fald + xan,C4 + C6609 <=> C5 + C52 + C292
rxn07757,nadh + 3-Methylxanthine <=> nad + fald + xan,C3 + C6613 <=> C2 + C52 + C292
rxn07758,nadph + 3-Methylxanthine <=> nadp + fald + xan,C4 + C6613 <=> C5 + C52 + C292
rxn07759,nadh + 1-Methylxanthine <=> nad + fald + xan,C3 + C6614 <=> C2 + C52 + C292
rxn07760,nadph + 1-Methylxanthine <=> nadp + fald + xan,C4 + C6614 <=> C5 + C52 + C292
rxn07761,nadh + Caffeine <=> nad + fald + Theophylline,C3 + C3651 <=> C2 + C52 + C3592
rxn07762,nadph + Caffeine <=> nadp + fald + Theophylline,C4 + C3651 <=> C5 + C52 + C3592
rxn07763,nadh + Theophylline <=> nad + fald + 3-Methylxanthine,C3 + C3592 <=> C2 + C52 + C6613
rxn07764,nadph + Theophylline <=> nadp + fald + 3-Methylxanthine,C4 + C3592 <=> C5 + C52 + C6613
rxn07765,nadh + Theophylline <=> nad + fald + 1-Methylxanthine,C3 + C3592 <=> C2 + C52 + C6614
rxn07766,nadph + Theophylline <=> nadp + fald + 1-Methylxanthine,C4 + C3592 <=> C5 + C52 + C6614
rxn07767,"Paraxanthine <=> 1,7-Dimethyluricacid",C4841 <=> C6612
rxn07768,"Theobromine <=> 3,7-Dimethyluricacid",C3650 <=> C6616
rxn07769,7-Methylxanthine <=> 7-Methyluricacid,C6609 <=> C6611
rxn07775,nadh + 2-Formylglutarate <=> nad + (S)-2-(Hydroxymethyl)glutarate,C3 + C6444 <=> C2 + C6636
rxn07780,Pinocembrinchalcone <=> Pinocembrin,C6650 <=> C4010
rxn07783,akg + Pinocembrin <=> co2 + succ + Pinobanksin,C23 + C4010 <=> C10 + C35 + C4009
rxn07785,Butein <=> Butin,C3830 <=> C3947
rxn07786,akg + Liquiritigenin <=> co2 + succ + Garbanzol,C23 + C3986 <=> C10 + C35 + C3983
rxn07787,akg + Butin <=> co2 + succ + Fustin,C23 + C3947 <=> C10 + C35 + C913
rxn07788,nadp + 5-Deoxyleucopelargonidin <=> nadph + Garbanzol,C5 + C6659 <=> C4 + C3983
rxn07789,"nadp + Fisetinin-3,4-diol <=> nadph + Fustin",C5 + C3979 <=> C4 + C913
rxn07792,nadph + Liquiritigenin <=> nadp + Butin,C4 + C3986 <=> C5 + C3947
rxn07794,Xanthohumol <=> Desmethylxanthohumol,C6661 <=> C6660
rxn07795,Eriodictyolchalcone <=> Bracteatin,C5106 <=> C3829
rxn07796,Isosalipurpol <=> naringeninchalcone4'-O-glucoside,C3357 <=> C12294
rxn07798,naringeninchalcone4'-O-glucoside <=> Aureusidin6-O-glucoside,C12294 <=> C6653
rxn07803,udpg + Isosalipurpol <=> Phlorizinchalcone,C25 + C3357 <=> C6652
rxn07806,"nadph + 2,4-Dihydroxylamino-6-nitrotoluene <=> nadp + 4-Amino-2-hydroxylamino-6-nitrotoluene",C4 + C6648 <=> C5 + C6649
rxn07808,"nadh + 4-Hydroxylamino-2,6-dinitrotoluene <=> nad + 4-Amino-2,6-dinitrotoluene",C3 + C6638 <=> C2 + C6640
rxn07809,"nadph + 4-Hydroxylamino-2,6-dinitrotoluene <=> nadp + 4-Amino-2,6-dinitrotoluene",C4 + C6638 <=> C5 + C6640
rxn07811,udpg + Hesperetin <=> Hesperetin7-O-glucoside,C25 + C1051 <=> C6665
rxn07812,UDP-L-rhamnose + Hesperetin7-O-glucoside <=> Neohesperidin,C1294 + C6665 <=> C3991
rxn07822,nadph + Garbanzol <=> nadp + Fustin,C4 + C3983 <=> C5 + C913
rxn07824,"2,4-Diamino-6-nitrotoluene <=> 2,4-Diamino-6-hydroxylaminotoluene",C6642 <=> C6645
rxn07825,"2,4,6-Triaminotoluene <=> 2,4-Diamino-6-hydroxylaminotoluene",C6646 <=> C6645
rxn07826,"accoa + 2,4-Diamino-6-nitrotoluene <=> coa + 4-Acetamido-2-amino-6-nitrotoluene",C21 + C6642 <=> C9 + C6664
rxn07833,"nadh + 2-Hydroxylamino-4,6-dinitrotoluene <=> nad + 2-Amino-4,6-dinitrotoluene",C3 + C6639 <=> C2 + C6641
rxn07840,akg + ectoine <=> co2 + succ + 5-Hydroxyectoine,C23 + C3177 <=> C10 + C35 + C6674
rxn07845,glcr <=> 2-Dehydro-3-deoxy-D-glucarate,C570 <=> C2055
rxn07847,"fald + h4mpt <=> 5,10-Methylenetetrahydromethanopterin",C52 + C835 <=> C2251
rxn07848,"nadp + 5,10-Methylenetetrahydromethanopterin <=> nadph + 5,10-Methenyltetrahydromethanopterin",C5 + C2251 <=> C4 + C2229
rxn07849,Formylmethanofuran <=> for + Methanofuran,C684 <=> C45 + C601
rxn07864,udpg + Zeatin <=> trans-Zeatin-7-beta-D-glucoside,C25 + C286 <=> C6681
rxn07865,udpg + Dihydrozeatin <=> Dihydrozeatin-O-glucoside,C25 + C1221 <=> C6684
rxn07870,akg + Pinocembrin <=> co2 + succ + Chrysin,C23 + C4010 <=> C10 + C35 + C4036
rxn07871,akg + Pinobanksin <=> co2 + succ + Galangin,C23 + C4009 <=> C10 + C35 + C4042
rxn07872,nadp + Nerol <=> nadph + Neral,C5 + C4020 <=> C4 + C4015
rxn07873,nadp + beta-Citronellol <=> nadph + (R)-(+)-Citronellal,C5 + C4017 <=> C4 + C4016
rxn07874,nadp + (-)-Citronellol <=> nadph + (S)-(-)-Citronellal,C5 + C4258 <=> C4 + C4257
rxn07879,3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA <=> ac + 7-Methyl-3-oxo-6-octenoyl-CoA,C2391 <=> C28 + C6692
rxn07880,coa + 7-Methyl-3-oxo-6-octenoyl-CoA <=> accoa + 5-Methylhex-4-enoyl-CoA,C9 + C6692 <=> C21 + C6696
rxn07881,"fad + 5-Methylhex-4-enoyl-CoA <=> fadh2 + (2E)-5-Methylhexa-2,4-dienoyl-CoA",C14 + C6696 <=> C907 + C6694
rxn07882,"(2E)-5-Methylhexa-2,4-dienoyl-CoA <=> 3-Hydroxy-5-methylhex-4-enoyl-CoA",C6694 <=> C6695
rxn07883,nad + 3-Hydroxy-5-methylhex-4-enoyl-CoA <=> nadh + 5-Methyl-3-oxo-4-hexenoyl-CoA,C2 + C6695 <=> C3 + C6697
rxn07884,coa + 5-Methyl-3-oxo-4-hexenoyl-CoA <=> accoa + 3mb2coa,C9 + C6697 <=> C21 + C1680
rxn07886,trans-Geranyl-CoA <=> coa + Geranicacid,C6691 <=> C9 + C6687
rxn07887,trans-Geranyl-CoA <=> Geranoyl-CoA,C6691 <=> C1171
rxn07889,"nadh + 2-Fluorobenzoate <=> nad + 2-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate",C3 + C1366 <=> C2 + C6708
rxn07890,"nadh + 2-Fluorobenzoate <=> nad + 6-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate",C3 + C1366 <=> C2 + C6707
rxn07892,"nadh + Fluorobenzene <=> nad + 4-Fluorocyclohexadiene-cis,cis-1,2-diol",C3 + C4237 <=> C2 + C6709
rxn07893,"nadh + Fluorobenzene <=> nad + 1-Fluorocyclohexadiene-cis,cis-1,2-diol",C3 + C4237 <=> C2 + C6710
rxn07894,"nad + 4-Fluorocyclohexadiene-cis,cis-1,2-diol <=> nadh + 4-Fluorocatechol",C2 + C6709 <=> C3 + C6699
rxn07896,"nadh + 3-Fluorobenzoate <=> nad + 3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate",C3 + C1369 <=> C2 + C6704
rxn07897,"nadh + 3-Fluorobenzoate <=> nad + 5-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate",C3 + C1369 <=> C2 + C6705
rxn07898,"nadh + 4-Fluorobenzoate <=> nad + 4-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate",C3 + C1373 <=> C2 + C6706
rxn07899,"nad + 3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate <=> nadh + co2 + 3-Fluorocatechol",C2 + C6704 <=> C3 + C10 + C6698
rxn07900,"nad + 5-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate <=> nadh + co2 + 4-Fluorocatechol",C2 + C6705 <=> C3 + C10 + C6699
rxn07901,"nad + 4-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate <=> nadh + co2 + 4-Fluorocatechol",C2 + C6706 <=> C3 + C10 + C6699
rxn07904,"3-Fluoro-cis,cis-muconate <=> 4-Fluoromuconolactone",C6700 <=> C6702
rxn07906,4-Fluorobenzoyl-CoA <=> F- + 4hbcoa,C1556 <=> C518 + C1618
rxn07907,"2-Fluoro-cis,cis-muconate <=> 5-Fluoromuconolactone",C6701 <=> C6703
rxn07910,"2-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate <=> catechol",C6708 <=> C74
rxn07911,"6-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate <=> 3-Fluorocatechol",C6707 <=> C6698
rxn07969,nadh + 2dhguln <=> nad + idon-L,C3 + C6836 <=> C2 + C537
rxn07970,nadph + 2dhguln <=> nadp + idon-L,C4 + C6836 <=> C5 + C537
rxn07971,2mahmp <=> pi + 4ampm,C2431 <=> C8 + C2328
rxn08013,dad-5 <=> ade + 5drib,C2595 <=> C124 + C6860
rxn08023,dtdp4aaddg + unagamu <=> unagamuf,C6923 + C7041 <=> C7042
rxn08025,arbt6p <=> g6p + hqn,C3147 <=> C76 + C393
rxn08034,accoa + anth <=> coa + acanth,C21 + C90 <=> C9 + C3214
rxn08035,acgal1p <=> pi + acgal,C6865 <=> C8 + C775
rxn08038,acgam1p <=> pi + acgam,C2195 <=> C8 + C119
rxn08043,pyr + 2obut <=> co2 + 2ahbut,C19 + C91 <=> C10 + C471
rxn08044,acmum6p <=> lac-D + acgam6p,C6866 <=> C212 + C277
rxn08045,unaga + uacmamu <=> unagamu,C883 + C3180 <=> C7041
rxn08053,fad + octdecancoa <=> fadh2 + od2coa,C14 + C8111 <=> C907 + C6492
rxnTransport0433,adocbl[e] <=> pi + adocbl,C20230 <=> C8 + C161
rxn08094,nad + coa + akg <=> nadh + co2 + succoa,C2 + C9 + C23 <=> C3 + C10 + C75
rxnTransport0442,ala-L[e] <=> pi + ala-L,C20110 <=> C8 + C34
rxnTransport0443,alaala[e] <=> pi + alaala,C20530 <=> C8 + C681
rxn08126,malt + malttr <=> glc-D + maltttr,C173 + C1124 <=> C26 + C1232
rxn08129,malt + malthx <=> glc-D + malthp,C173 + C1179 <=> C26 + C6958
rxn08130,amet + 2dmmql8 <=> ahcys + mql8,C16 + C6838 <=> C18 + C6963
rxn08158,pep + ascb[e] <=> pyr + ascb6p,C58 + C20131 <=> C19 + C6460
rxnTransport0468,asn-L[e] <=> pi + asn-L,C20199 <=> C8 + C128
rxn08168,asp-L + fum <=> succ + iasp,C40 + C103 <=> C35 + C2940
rxnTransport0488,cbi[e] <=> pi + cbi,C20921 <=> C8 + C2893
rxnTransport0489,cbl1[e] <=> pi + cbl1,C20494 <=> C8 + C593
rxn08200,cdpdtdecg <=> pa140,C6896 <=> C6986
rxnTransport0536,cys-L <=> pi + cys-L[e],C81 <=> C8 + C20156
rxn08291,fad + ala-D <=> nh4 + pyr + fadh2,C14 + C114 <=> C12 + C19 + C907
rxnTransport0551,26dap-M[e] <=> pi + 26dap-M,C20451 <=> C8 + C487
rxn08341,ahdt <=> dhmptp,C2506 <=> C6914
rxn08345,nadph + 25dkglcn <=> nadp + 2dhguln,C4 + C1543 <=> C5 + C6836
rxn08347,nadph + 25dkglcn <=> nadp + 5dglcn,C4 + C1543 <=> C5 + C726
rxn08352,nad + dmpp <=> nadh + h2mb4p,C2 + C193 <=> C3 + C4396
rxn08353,amet + 2omhmbl <=> ahcys + q8h2,C16 + C6844 <=> C18 + C7025
rxn08413,3hodcoa <=> od2coa,C6722 <=> C6492
rxn08439,dccoa <=> coa + dca,C2629 <=> C9 + C1003
rxn08441,tdcoa <=> coa + ttdca,C1462 <=> C9 + C3281
rxn08458,nad + fadh2 <=> nadh + fad,C2 + C907 <=> C3 + C14
rxn08459,nadph + fad <=> nadp + fadh2,C4 + C14 <=> C5 + C907
rxn08460,nad + hmgth <=> nadh + fglut-S,C2 + C6952 <=> C3 + C704
rxn08467,fmnh2 + istnt <=> fmn + so3 + gcald,C1131 + C2561 <=> C47 + C78 + C220
rxn08468,fmnh2 + mso3 <=> fmn + fald + so3,C1131 + C4214 <=> C47 + C52 + C78
rxn08470,fmnh2 + buts <=> fmn + so3 + btal,C1131 + C5361 <=> C47 + C78 + C926
rxn08527,fum + mql8 <=> succ + mqn8,C103 + C6963 <=> C35 + C5226
rxn08531,psclys <=> frulys,C7023 <=> C6935
rxn08556,glyc3p + q8 <=> dhap + q8h2,C77 + C7024 <=> C92 + C7025
rxn08557,dhap + mql8 <=> glyc3p + mqn8,C92 + C6963 <=> C77 + C5226
rxn08571,gal1p <=> pi + gal,C330 <=> C8 + C105
rxn08575,nad + galctn-L <=> nadh + tagur,C2 + C6369 <=> C3 + C415
rxn08582,cll_199 <=> gal,C662 <=> C105
rxn08607,accoa + glc-D <=> coa + acglc-D,C21 + C26 <=> C9 + C1485
rxn08647,glyc-R <=> 2pg,C214 <=> C455
rxn08659,lac-D <=> mthgxl,C212 <=> C406
rxn08668,g3ps <=> ser-L + glyc3p,C6937 <=> C51 + C77
rxn08669,g3pg <=> glyc3p + glyc,C1782 <=> C77 + C97
rxnTransport0706,L-glutathione[e] <=> pi + L-glutathione,C22287 <=> C8 + C15791
rxn08700,nad + 3hodcoa <=> nadh + 3ohodcoa,C2 + C6722 <=> C3 + C6490
rxn08733,accoa + hxa <=> ac + hxcoa,C21 + C1007 <=> C28 + C2625
rxnTransport0741,h[e] + idon-L[e] <=> idon-L,C20139 + C20477 <=> C537
rxnTransport0757,k[e] <=> pi + k,C20255 <=> C8 + C196
rxn08764,nadph + 2ahbut <=> nadp + 23dhmp,C4 + C471 <=> C5 + C2133
rxn08767,coa + 3ohodcoa <=> accoa + pmtcoa,C9 + C6490 <=> C21 + C130
rxn08775,LalaLglu <=> glu-L + ala-L,C6864 <=> C22 + C34
rxn08783,lac-D + q8 <=> pyr + q8h2,C212 + C7024 <=> C19 + C7025
rxn08792,lac-L + q8 <=> pyr + q8h2,C154 + C7024 <=> C19 + C7025
rxn08793,pyr + mql8 <=> lac-L + mqn8,C19 + C6963 <=> C154 + C5226
rxn08797,1tdecg3p <=> glyc3p + ttdca,C6819 <=> C77 + C3281
rxn08841,2agpe160 <=> hdca + g3pe,C6824 <=> C205 + C847
rxnTransport0791,maltttr[e] <=> pi + maltttr,C20695 <=> C8 + C1232
rxn08884,man6pglyc <=> glyc-R + man6p,C6960 <=> C214 + C224
rxn08900,mal-L + q8 <=> oaa + q8h2,C126 + C7024 <=> C31 + C7025
rxn08901,oaa + mql8 <=> mal-L + mqn8,C31 + C6963 <=> C126 + C5226
rxnTransport0811,mg2[e] <=> pi + mg2,C20293 <=> C8 + C241
rxn08926,murein5px4p <=> alaala + murein3px4p,C6978 <=> C681 + C6967
rxn08965,Abrine <=> fald + trp-L,C1634 <=> C52 + C62
rxn08971,nad + mql8 <=> nadh + mqn8,C2 + C6963 <=> C3 + C5226
rxn08975,nadh + q8 <=> nad + q8h2,C3 + C7024 <=> C2 + C7025
rxn08977,nadph + q8 <=> nadp + q8h2,C4 + C7024 <=> C5 + C7025
rxn08978,nadp + mql8 <=> nadph + mqn8,C5 + C6963 <=> C4 + C5226
rxn08996,nmn[e] <=> r5p + ncam,C20368 <=> C98 + C129
rxn09000,no3 + q8h2[e] <=> no2 + q8[e],C200 + C21464 <=> C72 + C21463
rxn09001,no3 + q8h2 + h[e] <=> no2 + q8,C200 + C7025 + C20139 <=> C72 + C7024
rxn09012,xtp <=> pi + xdp,C499 <=> C8 + C902
rxnTransport0893,pheme <=> pi + pheme[e],C27 <=> C8 + C20103
rxn09167,pyr + q8 <=> co2 + ac + q8h2,C19 + C7024 <=> C10 + C28 + C7025
rxn09174,succ + ppcoa <=> succoa + ppa,C35 + C83 <=> C75 + C136
rxn09188,fad + pro-L <=> fadh2 + 1pyr5c,C14 + C125 <=> C907 + C2050
rxn09212,thrp <=> pi + thr-L,C4604 <=> C8 + C156
rxn09264,accoa + spmd <=> coa + N1aspmd,C21 + C250 <=> C9 + C444
rxn09265,accoa + spmd <=> coa + n8aspmd,C21 + C250 <=> C9 + C703
rxn09272,succ + q8 <=> fum + q8h2,C35 + C7024 <=> C103 + C7025
